cohort_year,collection_key,reason
2024,penguin-101,outside-animation-universe
2024,penguin-107,outside-animation-universe
2024,reacher-208,outside-animation-universe
2024,rings-of-power-201,outside-animation-universe
2024,rings-of-power-207,outside-animation-universe
2024,road-house-2024,outside-animation-universe
2024,shogun-2024-101,outside-animation-universe
2024,shogun-2024-110,outside-animation-universe
2024,silo-201,outside-animation-universe
2024,snowpiercer-401,outside-animation-universe
2024,special-ops-lioness-201,outside-animation-universe
2024,squid-game-02,outside-animation-universe
2024,stormy,outside-animation-universe
2024,sugar-107,outside-animation-universe
2024,tokyo-vice-201,outside-animation-universe
2024,tokyo-vice-209,outside-animation-universe
2024,we-are-lady-parts-02,outside-animation-universe
2024,what-if-2021-03,category-predicate-not-matched
2025,alien-earth-101,outside-animation-universe
2025,alien-earth-106,outside-animation-universe
2025,american-primeval,outside-animation-universe
2025,american-revolution-2025,outside-animation-universe
2025,andor-112,outside-animation-universe
2025,andor-201,outside-animation-universe
2025,andor-210,outside-animation-universe
2025,ballard-01,outside-animation-universe
2025,bear-04,outside-animation-universe
2025,beatles-anthology,outside-animation-universe
2025,black-bag-2025,outside-animation-universe
2025,chief-of-war-101,outside-animation-universe
2025,chief-of-war-107,outside-animation-universe
2025,cobra-kai-06.3,outside-animation-universe
2025,common-side-effects-01,category-predicate-not-matched
2025,companion-2025,outside-animation-universe
2025,dan-da-dan-210,category-predicate-not-matched
2025,dark-winds-301,outside-animation-universe
2025,death-by-lightning,outside-animation-universe
2025,demon-slayer-kimetsu-no-yaiba-the-movie-infinity-castle,outside-animation-universe
2025,dope-thief-101,outside-animation-universe
2025,down-cemetery-road-101,outside-animation-universe
2025,duster-101,outside-animation-universe
2025,duster-106,outside-animation-universe
2025,eyes-of-wakanda-01,category-predicate-not-matched
2025,fallout-2024-201,outside-animation-universe
2025,frankenstein-2025,outside-animation-universe
2025,gen-v-201,outside-animation-universe
2025,gen-v-206,outside-animation-universe
2025,hacks-401,outside-animation-universe
2025,hacks-408,outside-animation-universe
2025,highest-2-lowest,outside-animation-universe
2025,invasion-301,outside-animation-universe
2025,invincible-301,category-predicate-not-matched
2025,ironheart-01,outside-animation-universe
2025,king-of-the-hill-14,category-predicate-not-matched
2025,last-of-us-201,outside-animation-universe
2025,last-of-us-206,outside-animation-universe
